Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
ColtsColts,402,4605,11.5,34,62,8,80,241,60.0,3
TexansTexans,399,4803,12.0,29,63,15,72,231,57.9,6
CardinalsCardinals,392,4200,10.7,27,49,3,45T,215,54.8,5
PatriotsPatriots,390,4540,11.6,28,43,12,81,222,56.9,4
SaintsSaints,378,4490,11.9,34,58,11,75,215,56.9,5
VikingsVikings,377,4403,11.7,34,55,13,63,220,58.4,3
SeahawksSeahawks,372,3771,10.1,20,39,6,53T,184,49.5,6
PackersPackers,357,4492,12.6,30,55,17,83,201,56.3,4
SteelersSteelers,351,4496,12.8,28,64,14,60,210,59.8,6
CowboysCowboys,347,4483,12.9,26,61,17,80,203,58.5,3
BroncosBroncos,341,3825,11.2,21,43,9,87,186,54.6,2
BearsBears,340,3677,10.8,27,56,6,71T,170,50.0,3
RedskinsRedskins,340,3797,11.2,21,43,10,84,191,56.2,5
GiantsGiants,338,4246,12.6,28,62,12,74,194,57.4,4
ChargersChargers,338,4506,13.3,29,67,13,81,222,65.7,3
EaglesEagles,335,4380,13.1,27,65,21,71,182,54.3,3
FalconsFalcons,332,3697,11.1,26,39,5,90,192,57.8,3
DolphinsDolphins,331,3396,10.3,15,29,4,67,188,56.8,6
RavensRavens,321,3637,11.3,21,44,8,72T,187,58.3,2
LionsLions,316,3471,11.0,16,39,6,75,168,53.2,5
JaguarsJaguars,315,3599,11.4,15,44,6,63,170,54.0,5
RamsRams,312,2970,9.5,12,32,2,50T,159,51.0,5
NinersNiners,312,3293,10.6,23,42,7,73T,137,43.9,2
ChiefsChiefs,296,3183,10.8,18,41,9,61,139,47.0,1
BengalsBengals,286,3134,11.0,21,36,5,73,158,55.2,7
BuccaneersBuccaneers,279,3134,11.2,18,39,4,47,148,53.0,1
TitansTitans,271,3104,11.4,16,32,8,69T,154,56.8,5
PanthersPanthers,264,3070,11.6,16,39,9,66T,152,57.6,3
BillsBills,256,2789,10.9,17,31,6,98,126,49.2,5
RaidersRaiders,255,2875,11.3,10,30,4,86,131,51.4,2
BrownsBrowns,219,2255,10.3,11,25,4,59,118,53.9,5
JetsJets,210,2596,12.4,12,37,8,65,131,62.4,3
